city,date,temperature,humidity,precipitation,wind_speed,pressure,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Paris,2024-07-01,64.7,66.3,0.007,10.2,1017.9,1,118.12,0.0,2.48,56.3,0.11,1.17,1.53,2.72
Paris,2024-07-02,63.3,69.8,0.178,11.0,1018.2,1,118.12,0.0,2.48,56.3,0.11,1.17,1.53,2.72
Paris,2024-07-03,62.5,67.9,0.0,12.0,1013.3,1,118.12,0.0,2.48,56.3,0.11,1.17,1.53,2.72
Paris,2024-07-04,65.0,64.8,0.027,12.1,1012.3,1,118.12,0.0,2.48,56.3,0.11,1.17,1.53,2.72
Paris,2024-07-05,67.6,55.9,0.0,12.9,1012.2,1,118.12,0.0,2.48,56.3,0.11,1.17,1.53,2.72
Paris,2024-07-06,64.6,58.2,0.034,14.1,1007.6,1,118.12,0.0,2.48,56.3,0.11,1.17,1.53,2.72
Paris,2024-07-07,62.2,54.2,0.001,11.5,1014.6,1,118.12,0.0,2.48,56.3,0.11,1.17,1.53,2.72
Paris,2024-07-08,67.0,58.2,0.0,6.2,1015.8,1,118.12,0.0,2.48,56.3,0.11,1.17,1.53,2.72
Paris,2024-07-09,70.4,65.3,0.113,11.6,1012.6,1,118.12,0.0,2.48,56.3,0.11,1.17,1.53,2.72
Paris,2024-07-10,71.3,64.4,0.0,10.9,1016.1,1,118.12,0.0,2.48,56.3,0.11,1.17,1.53,2.72
Paris,2024-07-11,69.6,60.8,0.001,8.4,1017.4,1,118.12,0.0,2.48,56.3,0.11,1.17,1.53,2.72
Paris,2024-07-12,62.0,81.0,0.643,10.9,1014.2,1,118.12,0.0,2.48,56.3,0.11,1.17,1.53,2.72
Paris,2024-07-13,62.8,72.0,0.001,9.6,1014.7,1,118.12,0.0,2.48,56.3,0.11,1.17,1.53,2.72
Paris,2024-07-14,65.2,67.1,0.012,5.6,1013.6,1,118.12,0.0,2.48,56.3,0.11,1.17,1.53,2.72
Paris,2024-07-15,69.5,65.2,0.001,13.6,1009.6,1,118.12,0.0,2.48,56.3,0.11,1.17,1.53,2.72
Berlin,2024-07-01,63.5,84.5,0.221,10.2,1010.7,2,116.93,0.0,4.07,70.07,1.0,1.11,1.62,4.92
Berlin,2024-07-02,58.9,87.8,0.119,12.9,1011.0,2,116.93,0.0,4.07,70.07,1.0,1.11,1.62,4.92
Berlin,2024-07-03,59.2,73.2,0.005,11.8,1009.0,2,116.93,0.0,4.07,70.07,1.0,1.11,1.62,4.92
Berlin,2024-07-04,60.2,75.5,0.04,16.7,1006.9,2,116.93,0.0,4.07,70.07,1.0,1.11,1.62,4.92
Berlin,2024-07-05,62.0,63.6,0.0,13.3,1010.4,2,116.93,0.0,4.07,70.07,1.0,1.11,1.62,4.92
Berlin,2024-07-06,70.7,64.5,0.06,16.7,1005.4,2,116.93,0.0,4.07,70.07,1.0,1.11,1.62,4.92
Berlin,2024-07-07,66.5,48.1,0.0,13.5,1012.8,2,116.93,0.0,4.07,70.07,1.0,1.11,1.62,4.92
Berlin,2024-07-08,68.5,47.9,0.0,7.9,1017.7,2,116.93,0.0,4.07,70.07,1.0,1.11,1.62,4.92
Berlin,2024-07-09,77.0,45.9,0.0,10.7,1018.0,2,116.93,0.0,4.07,70.07,1.0,1.11,1.62,4.92
Berlin,2024-07-10,75.8,70.4,0.513,11.2,1014.4,2,116.93,0.0,4.07,70.07,1.0,1.11,1.62,4.92
Berlin,2024-07-11,72.7,76.5,0.002,10.7,1015.8,2,116.93,0.0,4.07,70.07,1.0,1.11,1.62,4.92
Berlin,2024-07-12,69.3,86.0,0.898,11.8,1012.3,2,116.93,0.0,4.07,70.07,1.0,1.11,1.62,4.92
Berlin,2024-07-13,65.2,70.9,0.045,16.4,1011.0,2,116.93,0.0,4.07,70.07,1.0,1.11,1.62,4.92
Berlin,2024-07-14,66.1,68.7,0.043,11.9,1013.7,2,116.93,0.0,4.07,70.07,1.0,1.11,1.62,4.92
Berlin,2024-07-15,72.7,58.0,0.0,8.1,1012.9,2,116.93,0.0,4.07,70.07,1.0,1.11,1.62,4.92
Madrid,2024-07-01,73.6,49.8,0.0,9.9,1017.6,3,108.89,0.0,1.84,104.01,0.07,1.08,1.65,3.42
Madrid,2024-07-02,75.1,43.6,0.0,10.6,1019.5,3,108.89,0.0,1.84,104.01,0.07,1.08,1.65,3.42
Madrid,2024-07-03,78.8,30.0,0.0,6.8,1016.1,3,108.89,0.0,1.84,104.01,0.07,1.08,1.65,3.42
Madrid,2024-07-04,83.7,28.8,0.0,5.5,1013.9,3,108.89,0.0,1.84,104.01,0.07,1.08,1.65,3.42
Madrid,2024-07-05,85.6,30.5,0.002,14.6,1011.1,3,108.89,0.0,1.84,104.01,0.07,1.08,1.65,3.42
Madrid,2024-07-06,82.1,38.2,0.0,14.8,1009.0,3,108.89,0.0,1.84,104.01,0.07,1.08,1.65,3.42
Madrid,2024-07-07,75.5,45.8,0.0,13.3,1012.5,3,108.89,0.0,1.84,104.01,0.07,1.08,1.65,3.42
Madrid,2024-07-08,77.3,31.2,0.0,10.7,1013.6,3,108.89,0.0,1.84,104.01,0.07,1.08,1.65,3.42
Madrid,2024-07-09,78.1,30.6,0.0,13.3,1014.8,3,108.89,0.0,1.84,104.01,0.07,1.08,1.65,3.42
Madrid,2024-07-10,80.0,41.0,0.0,12.9,1017.5,3,108.89,0.0,1.84,104.01,0.07,1.08,1.65,3.42
Madrid,2024-07-11,83.5,39.2,0.0,19.4,1016.5,3,108.89,0.0,1.84,104.01,0.07,1.08,1.65,3.42
Madrid,2024-07-12,80.9,31.0,0.0,8.5,1014.6,3,108.89,0.0,1.84,104.01,0.07,1.08,1.65,3.42
Madrid,2024-07-13,79.4,37.0,0.0,15.9,1011.4,3,108.89,0.0,1.84,104.01,0.07,1.08,1.65,3.42
Madrid,2024-07-14,79.5,20.1,0.0,17.5,1012.7,3,108.89,0.0,1.84,104.01,0.07,1.08,1.65,3.42
Madrid,2024-07-15,77.4,41.2,0.0,22.8,1014.1,3,108.89,0.0,1.84,104.01,0.07,1.08,1.65,3.42
"Rome, Lazio",2024-07-01,77.3,71.9,0.001,12.7,1012.4,2,116.47,0.0,1.01,91.5,0.39,1.85,4.12,0.77
"Rome, Lazio",2024-07-02,77.5,63.9,0.036,15.4,1007.1,2,116.47,0.0,1.01,91.5,0.39,1.85,4.12,0.77
"Rome, Lazio",2024-07-03,71.5,79.5,0.299,12.1,1006.7,2,116.47,0.0,1.01,91.5,0.39,1.85,4.12,0.77
"Rome, Lazio",2024-07-04,73.9,66.6,0.0,12.4,1008.8,2,116.47,0.0,1.01,91.5,0.39,1.85,4.12,0.77
"Rome, Lazio",2024-07-05,76.7,62.7,0.0,11.5,1014.9,2,116.47,0.0,1.01,91.5,0.39,1.85,4.12,0.77
"Rome, Lazio",2024-07-06,76.9,62.9,0.0,13.7,1014.0,2,116.47,0.0,1.01,91.5,0.39,1.85,4.12,0.77
"Rome, Lazio",2024-07-07,78.7,57.0,0.001,17.9,1012.6,2,116.47,0.0,1.01,91.5,0.39,1.85,4.12,0.77
"Rome, Lazio",2024-07-08,79.6,67.6,0.01,12.1,1014.8,2,116.47,0.0,1.01,91.5,0.39,1.85,4.12,0.77
"Rome, Lazio",2024-07-09,82.7,58.4,0.0,12.5,1014.9,2,116.47,0.0,1.01,91.5,0.39,1.85,4.12,0.77
"Rome, Lazio",2024-07-10,84.2,44.8,0.0,13.3,1014.8,2,116.47,0.0,1.01,91.5,0.39,1.85,4.12,0.77
"Rome, Lazio",2024-07-11,85.5,47.3,0.0,11.6,1014.8,2,116.47,0.0,1.01,91.5,0.39,1.85,4.12,0.77
"Rome, Lazio",2024-07-12,83.8,45.7,0.0,10.5,1013.1,2,116.47,0.0,1.01,91.5,0.39,1.85,4.12,0.77
"Rome, Lazio",2024-07-13,82.3,50.4,0.0,13.4,1011.5,2,116.47,0.0,1.01,91.5,0.39,1.85,4.12,0.77
"Rome, Lazio",2024-07-14,82.1,59.4,0.0,11.3,1012.5,2,116.47,0.0,1.01,91.5,0.39,1.85,4.12,0.77
"Rome, Lazio",2024-07-15,84.8,46.3,0.0,11.8,1012.6,2,116.47,0.0,1.01,91.5,0.39,1.85,4.12,0.77
Amsterdam,2024-07-01,60.5,75.4,0.008,15.3,1015.2,2,144.91,0.01,14.76,60.35,2.48,2.99,3.93,5.77
Amsterdam,2024-07-02,59.5,79.8,0.154,16.7,1014.9,2,144.91,0.01,14.76,60.35,2.48,2.99,3.93,5.77
Amsterdam,2024-07-03,56.6,81.5,0.092,14.3,1009.9,2,144.91,0.01,14.76,60.35,2.48,2.99,3.93,5.77
Amsterdam,2024-07-04,60.5,71.2,0.575,20.8,1006.5,2,144.91,0.01,14.76,60.35,2.48,2.99,3.93,5.77
Amsterdam,2024-07-05,61.0,82.2,0.047,18.2,1007.9,2,144.91,0.01,14.76,60.35,2.48,2.99,3.93,5.77
Amsterdam,2024-07-06,61.7,81.5,0.395,34.0,1001.3,2,144.91,0.01,14.76,60.35,2.48,2.99,3.93,5.77
Amsterdam,2024-07-07,58.5,81.0,0.16,18.6,1011.0,2,144.91,0.01,14.76,60.35,2.48,2.99,3.93,5.77
Amsterdam,2024-07-08,61.7,76.8,0.055,11.0,1016.4,2,144.91,0.01,14.76,60.35,2.48,2.99,3.93,5.77
Amsterdam,2024-07-09,68.1,74.4,0.092,15.0,1013.7,2,144.91,0.01,14.76,60.35,2.48,2.99,3.93,5.77
Amsterdam,2024-07-10,66.0,81.6,0.657,18.9,1013.6,2,144.91,0.01,14.76,60.35,2.48,2.99,3.93,5.77
Amsterdam,2024-07-11,62.9,77.2,0.0,15.1,1016.9,2,144.91,0.01,14.76,60.35,2.48,2.99,3.93,5.77
Amsterdam,2024-07-12,58.4,88.5,0.335,12.9,1013.8,2,144.91,0.01,14.76,60.35,2.48,2.99,3.93,5.77
Amsterdam,2024-07-13,59.1,87.1,0.212,19.3,1010.8,2,144.91,0.01,14.76,60.35,2.48,2.99,3.93,5.77
Amsterdam,2024-07-14,62.1,73.9,0.003,21.4,1011.6,2,144.91,0.01,14.76,60.35,2.48,2.99,3.93,5.77
Amsterdam,2024-07-15,65.2,73.0,0.093,8.8,1010.9,2,144.91,0.01,14.76,60.35,2.48,2.99,3.93,5.77
Vienna,2024-07-01,72.9,63.8,0.004,15.6,1011.4,1,137.03,0.0,4.86,47.77,0.51,0.94,1.34,2.17
Vienna,2024-07-02,69.1,51.0,0.0,17.9,1011.4,1,137.03,0.0,4.86,47.77,0.51,0.94,1.34,2.17
Vienna,2024-07-03,67.2,60.3,0.0,11.2,1009.4,1,137.03,0.0,4.86,47.77,0.51,0.94,1.34,2.17
Vienna,2024-07-04,68.6,53.9,0.0,17.9,1010.6,1,137.03,0.0,4.86,47.77,0.51,0.94,1.34,2.17
Vienna,2024-07-05,74.1,49.2,0.004,17.9,1013.5,1,137.03,0.0,4.86,47.77,0.51,0.94,1.34,2.17
Vienna,2024-07-06,79.3,50.0,0.0,20.1,1008.4,1,137.03,0.0,4.86,47.77,0.51,0.94,1.34,2.17
Vienna,2024-07-07,72.3,68.7,0.097,13.4,1013.3,1,137.03,0.0,4.86,47.77,0.51,0.94,1.34,2.17
